location,temperature,categories,premise,hypothesis
noloc,-50,freezing,It is -50 degrees fahrenheit.,It is freezing.
noloc,-50,cold,It is -50 degrees fahrenheit.,It is cold.
noloc,-50,cool,It is -50 degrees fahrenheit.,It is cool.
noloc,-50,warm,It is -50 degrees fahrenheit.,It is warm.
noloc,-50,hot,It is -50 degrees fahrenheit.,It is hot.
noloc,-49,freezing,It is -49 degrees fahrenheit.,It is freezing.
noloc,-49,cold,It is -49 degrees fahrenheit.,It is cold.
noloc,-49,cool,It is -49 degrees fahrenheit.,It is cool.
noloc,-49,warm,It is -49 degrees fahrenheit.,It is warm.
noloc,-49,hot,It is -49 degrees fahrenheit.,It is hot.
noloc,-48,freezing,It is -48 degrees fahrenheit.,It is freezing.
noloc,-48,cold,It is -48 degrees fahrenheit.,It is cold.
noloc,-48,cool,It is -48 degrees fahrenheit.,It is cool.
noloc,-48,warm,It is -48 degrees fahrenheit.,It is warm.
noloc,-48,hot,It is -48 degrees fahrenheit.,It is hot.
noloc,-47,freezing,It is -47 degrees fahrenheit.,It is freezing.
noloc,-47,cold,It is -47 degrees fahrenheit.,It is cold.
noloc,-47,cool,It is -47 degrees fahrenheit.,It is cool.
noloc,-47,warm,It is -47 degrees fahrenheit.,It is warm.
noloc,-47,hot,It is -47 degrees fahrenheit.,It is hot.
noloc,-46,freezing,It is -46 degrees fahrenheit.,It is freezing.
noloc,-46,cold,It is -46 degrees fahrenheit.,It is cold.
noloc,-46,cool,It is -46 degrees fahrenheit.,It is cool.
noloc,-46,warm,It is -46 degrees fahrenheit.,It is warm.
noloc,-46,hot,It is -46 degrees fahrenheit.,It is hot.
noloc,-45,freezing,It is -45 degrees fahrenheit.,It is freezing.
noloc,-45,cold,It is -45 degrees fahrenheit.,It is cold.
noloc,-45,cool,It is -45 degrees fahrenheit.,It is cool.
noloc,-45,warm,It is -45 degrees fahrenheit.,It is warm.
noloc,-45,hot,It is -45 degrees fahrenheit.,It is hot.
noloc,-44,freezing,It is -44 degrees fahrenheit.,It is freezing.
noloc,-44,cold,It is -44 degrees fahrenheit.,It is cold.
noloc,-44,cool,It is -44 degrees fahrenheit.,It is cool.
noloc,-44,warm,It is -44 degrees fahrenheit.,It is warm.
noloc,-44,hot,It is -44 degrees fahrenheit.,It is hot.
noloc,-43,freezing,It is -43 degrees fahrenheit.,It is freezing.
noloc,-43,cold,It is -43 degrees fahrenheit.,It is cold.
noloc,-43,cool,It is -43 degrees fahrenheit.,It is cool.
noloc,-43,warm,It is -43 degrees fahrenheit.,It is warm.
noloc,-43,hot,It is -43 degrees fahrenheit.,It is hot.
noloc,-42,freezing,It is -42 degrees fahrenheit.,It is freezing.
noloc,-42,cold,It is -42 degrees fahrenheit.,It is cold.
noloc,-42,cool,It is -42 degrees fahrenheit.,It is cool.
noloc,-42,warm,It is -42 degrees fahrenheit.,It is warm.
noloc,-42,hot,It is -42 degrees fahrenheit.,It is hot.
noloc,-41,freezing,It is -41 degrees fahrenheit.,It is freezing.
noloc,-41,cold,It is -41 degrees fahrenheit.,It is cold.
noloc,-41,cool,It is -41 degrees fahrenheit.,It is cool.
noloc,-41,warm,It is -41 degrees fahrenheit.,It is warm.
noloc,-41,hot,It is -41 degrees fahrenheit.,It is hot.
noloc,-40,freezing,It is -40 degrees fahrenheit.,It is freezing.
noloc,-40,cold,It is -40 degrees fahrenheit.,It is cold.
noloc,-40,cool,It is -40 degrees fahrenheit.,It is cool.
noloc,-40,warm,It is -40 degrees fahrenheit.,It is warm.
noloc,-40,hot,It is -40 degrees fahrenheit.,It is hot.
noloc,-39,freezing,It is -39 degrees fahrenheit.,It is freezing.
noloc,-39,cold,It is -39 degrees fahrenheit.,It is cold.
noloc,-39,cool,It is -39 degrees fahrenheit.,It is cool.
noloc,-39,warm,It is -39 degrees fahrenheit.,It is warm.
noloc,-39,hot,It is -39 degrees fahrenheit.,It is hot.
noloc,-38,freezing,It is -38 degrees fahrenheit.,It is freezing.
noloc,-38,cold,It is -38 degrees fahrenheit.,It is cold.
noloc,-38,cool,It is -38 degrees fahrenheit.,It is cool.
noloc,-38,warm,It is -38 degrees fahrenheit.,It is warm.
noloc,-38,hot,It is -38 degrees fahrenheit.,It is hot.
noloc,-37,freezing,It is -37 degrees fahrenheit.,It is freezing.
noloc,-37,cold,It is -37 degrees fahrenheit.,It is cold.
noloc,-37,cool,It is -37 degrees fahrenheit.,It is cool.
noloc,-37,warm,It is -37 degrees fahrenheit.,It is warm.
noloc,-37,hot,It is -37 degrees fahrenheit.,It is hot.
noloc,-36,freezing,It is -36 degrees fahrenheit.,It is freezing.
noloc,-36,cold,It is -36 degrees fahrenheit.,It is cold.
